file,split,type,clustering_coefficient,num_nodes,num_edges
graph_1_2024_03_12_PARIS_Noyau_org_10_(8-bits)_Cystiques.pt,train,Cystiques,0.5624643619268589,4093,32744
graph_1_2024_03_12_PARIS_Noyau_org_2_(8-bits)_Cystiques.pt,train,Cystiques,0.5819964404441248,1749,13992
graph_1_2024_03_12_PARIS_Noyau_org_3_(8-bits)_Cystiques.pt,train,Cystiques,0.5551385286724216,1969,15752
graph_1_2024_03_12_PARIS_Noyau_org_4_(8-bits)_Cystiques.pt,train,Cystiques,0.5566422167392547,3685,29480
graph_1_2024_03_12_PARIS_Noyau_org_5_(8-bits)_Cystiques.pt,train,Cystiques,0.5658213241650818,1928,15424
graph_1_2024_03_12_PARIS_Noyau_org_6_(8-bits)_Cystiques.pt,train,Cystiques,0.5092316833948634,2868,22944
graph_1_2024_03_12_PARIS_Noyau_org_9_(8-bits)_Cystiques.pt,train,Cystiques,0.5904896685132334,3320,26560
graph_1_2024_06_26_PARIS_Noyau_Org_10_cystic_J7_20X_8bit_Cystiques.pt,train,Cystiques,0.4980876762126762,944,7552
graph_1_2024_06_26_PARIS_Noyau_Org_11_cystic_J7_20X_8bit_Cystiques.pt,train,Cystiques,0.4892555427692988,1672,13376
graph_1_2024_06_26_PARIS_Noyau_Org_12_cauliflower_J7_40X_8bit_Chouxfleurs.pt,train,Choux-fleurs,0.4537934852341632,1770,14160
graph_1_2024_06_26_PARIS_Noyau_Org_15_cauliflower_J7_40X_8bit_Chouxfleurs.pt,train,Choux-fleurs,0.45369731086736165,1576,12608
graph_1_2024_06_26_PARIS_Noyau_Org_16_cauliflower_J7_40X_8bit_Chouxfleurs.pt,train,Choux-fleurs,0.4329033202704123,2970,23760
graph_1_2024_06_26_PARIS_Noyau_Org_17_cauliflower_J7_40X_8bit_Chouxfleurs.pt,train,Choux-fleurs,0.41940562820821753,2458,19664
graph_1_2024_06_26_PARIS_Noyau_Org_18_cauliflower_J7_40X_8bit_Chouxfleurs.pt,train,Choux-fleurs,0.42914521233752,1950,15600
graph_1_2024_06_26_PARIS_Noyau_Org_19_cauliflower_J7_40X_8bit_Chouxfleurs.pt,train,Choux-fleurs,0.47903616640377616,1183,9464
graph_1_2024_06_26_PARIS_Noyau_Org_1_cystic_J7_40X_8bit_Cystiques.pt,train,Cystiques,0.48662724729145396,1355,10840
graph_1_2024_06_26_PARIS_Noyau_Org_20_cauliflower_J7_40X_8bit_Chouxfleurs.pt,train,Choux-fleurs,0.44766590380924853,1758,14064
graph_1_2024_06_26_PARIS_Noyau_Org_3_cauliflower_J7_40X_8bit_Chouxfleurs.pt,train,Choux-fleurs,0.4467500737709343,1534,12272
graph_1_2024_06_26_PARIS_Noyau_Org_5_cauliflower_J7_40X_8bit_Chouxfleurs.pt,train,Choux-fleurs,0.4427597188816336,1337,10696
